Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.75,symmetric,0.39302686262356323
75% Corpus,7,1.0,0.25,0.4035272995614276
75% Corpus,7,1.0,0.5,0.41003886632106107
75% Corpus,7,1.0,0.75,0.4156562300233619
75% Corpus,7,1.0,1.0,0.4153473403675013
75% Corpus,7,1.0,symmetric,0.3949605425948845
75% Corpus,7,symmetric,0.25,0.39442060794520944
75% Corpus,7,symmetric,0.5,0.3959278515869708
75% Corpus,7,symmetric,0.75,0.3978310684543055
75% Corpus,7,symmetric,1.0,0.384493891932352
75% Corpus,7,symmetric,symmetric,0.38704899082829164
75% Corpus,7,asymmetric,0.25,0.3844527985794702
75% Corpus,7,asymmetric,0.5,0.3917259981153537
75% Corpus,7,asymmetric,0.75,0.39272096573745596
75% Corpus,7,asymmetric,1.0,0.4076776612015012
75% Corpus,7,asymmetric,symmetric,0.3766901569287631
75% Corpus,8,0.25,0.25,0.40446312910301396
75% Corpus,8,0.25,0.5,0.4065018033617648
75% Corpus,8,0.25,0.75,0.3947381257025818
75% Corpus,8,0.25,1.0,0.388582863392798
75% Corpus,8,0.25,symmetric,0.3991766980768785
75% Corpus,8,0.5,0.25,0.37625924775964725
75% Corpus,8,0.5,0.5,0.3913517482031714
75% Corpus,8,0.5,0.75,0.3771677980651304
75% Corpus,8,0.5,1.0,0.4068982146663165
75% Corpus,8,0.5,symmetric,0.3670135321763972
75% Corpus,8,0.75,0.25,0.38149350992589826
75% Corpus,8,0.75,0.5,0.39607712914054527
75% Corpus,8,0.75,0.75,0.4093180744954034
75% Corpus,8,0.75,1.0,0.4038444806060839
75% Corpus,8,0.75,symmetric,0.3698803644937098
75% Corpus,8,1.0,0.25,0.38282239435937737
75% Corpus,8,1.0,0.5,0.39812418823404294
75% Corpus,8,1.0,0.75,0.39407017002005085
75% Corpus,8,1.0,1.0,0.4073614373453276
75% Corpus,8,1.0,symmetric,0.37069674202237257
75% Corpus,8,symmetric,0.25,0.39013063180439506
75% Corpus,8,symmetric,0.5,0.3886982158401145
75% Corpus,8,symmetric,0.75,0.39405791183287403
75% Corpus,8,symmetric,1.0,0.3967877472983272
75% Corpus,8,symmetric,symmetric,0.393267171768911
75% Corpus,8,asymmetric,0.25,0.3922588606665199
75% Corpus,8,asymmetric,0.5,0.40684538838810547
75% Corpus,8,asymmetric,0.75,0.4148697417850806
75% Corpus,8,asymmetric,1.0,0.3964641379311491
75% Corpus,8,asymmetric,symmetric,0.40340320101527805
75% Corpus,9,0.25,0.25,0.39154309172912466
75% Corpus,9,0.25,0.5,0.3971884133852403
75% Corpus,9,0.25,0.75,0.3884132936094474
75% Corpus,9,0.25,1.0,0.39586121126941504
75% Corpus,9,0.25,symmetric,0.39006581585604844
75% Corpus,9,0.5,0.25,0.3731878124608636
75% Corpus,9,0.5,0.5,0.3806328555401992
75% Corpus,9,0.5,0.75,0.3880122558449705
75% Corpus,9,0.5,1.0,0.38362966079601585
75% Corpus,9,0.5,symmetric,0.36507023861529825
75% Corpus,9,0.75,0.25,0.3670727579553399
75% Corpus,9,0.75,0.5,0.37372878497739304
75% Corpus,9,0.75,0.75,0.3834022963108097
75% Corpus,9,0.75,1.0,0.39349027701338
75% Corpus,9,0.75,symmetric,0.366187867536729
75% Corpus,9,1.0,0.25,0.3747300806868046
75% Corpus,9,1.0,0.5,0.37857055893507835
75% Corpus,9,1.0,0.75,0.3800830321629245
75% Corpus,9,1.0,1.0,0.38723404211792567
75% Corpus,9,1.0,symmetric,0.3671448244584268
75% Corpus,9,symmetric,0.25,0.40116737081502035
75% Corpus,9,symmetric,0.5,0.40230034952433047
75% Corpus,9,symmetric,0.75,0.3887308973141646
75% Corpus,9,symmetric,1.0,0.39754923642874385
75% Corpus,9,symmetric,symmetric,0.3865457415370352
75% Corpus,9,asymmetric,0.25,0.38375682512871123
75% Corpus,9,asymmetric,0.5,0.3782442063864988
75% Corpus,9,asymmetric,0.75,0.39470167925482524
75% Corpus,9,asymmetric,1.0,0.3987997844081186
75% Corpus,9,asymmetric,symmetric,0.3860112281210633
75% Corpus,10,0.25,0.25,0.38253498875924313
75% Corpus,10,0.25,0.5,0.3831706119169987
75% Corpus,10,0.25,0.75,0.37305761888674843
75% Corpus,10,0.25,1.0,0.38045537861483386
75% Corpus,10,0.25,symmetric,0.3768240627164308
75% Corpus,10,0.5,0.25,0.3648754031931734
75% Corpus,10,0.5,0.5,0.3634907506437065
75% Corpus,10,0.5,0.75,0.3736344467886942
